Accession,Description,Length
MW924359.1,206. UNVERIFIED: Astroviridae sp. isolate G20_066 sequence,"1,097 bp linear RNA"
MW173390.1,207. UNVERIFIED: Marmot astrovirus XJ2 isolate XJ2/CHN/2016 genomic sequence,"3,945 bp linear RNA"
MW173389.1,208. UNVERIFIED: Himalayan marmot astrovirus XJ1 isolate XJ1/CH/2016 genomic sequence,"4,169 bp linear RNA"
MT394896.1,"209. UNVERIFIED: Porcine astrovirus 3 strain USA/IA/53214/2018, complete genome","6,434 bp linear RNA"
MT394895.1,"210. UNVERIFIED: Porcine astrovirus 3 strain USA/IA/48142/2018, complete genome","6,434 bp linear RNA"
MT228622.1,"211. UNVERIFIED: Astrovirus sp. isolate Xn545 capsid protein-like gene, partial sequence",419 bp linear RNA
MT228621.1,"212. UNVERIFIED: Astrovirus sp. isolate XN37 capsid protein-like gene, partial sequence",419 bp linear RNA
MT228620.1,"213. UNVERIFIED: Astrovirus sp. isolate XN309 capsid protein-like gene, partial sequence",420 bp linear RNA
MT228619.1,"214. UNVERIFIED: Astrovirus sp. isolate XN528 capsid protein-like gene, partial sequence",419 bp linear RNA
MT228618.1,"215. UNVERIFIED: Astrovirus sp. isolate XN461 capsid protein-like gene, partial sequence",421 bp linear RNA
MT228617.1,"216. UNVERIFIED: Astrovirus sp. isolate XN527 capsid protein-like gene, partial sequence",421 bp linear RNA
MT228616.1,"217. UNVERIFIED: Astrovirus sp. isolate XN36 capsid protein-like gene, partial sequence",420 bp linear RNA
MN510442.1,218. UNVERIFIED: Human astrovirus 2 isolate G19054 genomic sequence,"6,353 bp linear RNA"
MN510441.1,219. UNVERIFIED: Human astrovirus 3 isolate G19053 genomic sequence,"6,429 bp linear RNA"
MN510440.1,220. UNVERIFIED: Human astrovirus 2 isolate G19052 genomic sequence,"6,788 bp linear RNA"
MN510439.1,221. UNVERIFIED: Human astrovirus 1 isolate G19051 genomic sequence,"6,772 bp linear RNA"
MH925760.1,"222. UNVERIFIED: Astrovirus sp. isolate FAS53 outer capsid protein-like gene, partial sequence",411 bp linear RNA
MH925759.1,"223. UNVERIFIED: Astrovirus sp. isolate FAS2 outer capsid protein-like gene, partial sequence",449 bp linear RNA
MH925758.1,"224. UNVERIFIED: Astrovirus sp. isolate FASC828 outer capsid protein-like gene, partial sequence",375 bp linear RNA
MN026335.1,"225. UNVERIFIED: Avian nephritis virus 2 isolate NGR_ANV_Ch capsid protein-like gene, partial sequence",318 bp linear RNA
MK204414.1,"226. UNVERIFIED: Pink-eared duck avastrovirus non-structural polyprotein-like (ORF1ab) gene, partial sequence","1,801 bp linear RNA"
MK204385.1,"227. UNVERIFIED: Red-necked stint avastrovirus non-structural polyprotein-like (ORF1ab) gene, complete sequence; and structural protein (ORF2) gene, complete cds","7,519 bp linear RNA"
MH282881.1,"228. UNVERIFIED: Mamastrovirus 10 isolate 11az RNA-dependent RNA polymerase-like gene, partial sequence",226 bp linear RNA
MH282879.1,"229. UNVERIFIED: Mamastrovirus 10 isolate 8f RNA-dependent RNA polymerase-like gene, partial sequence",243 bp linear RNA
JF272600.1,"230. UNVERIFIED: Porcine astrovirus isolate PAstV/1156/IA RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",697 bp linear RNA
JF272599.1,"231. UNVERIFIED: Porcine astrovirus isolate PAstV/1155/IL RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",710 bp linear RNA
JF272598.1,"232. UNVERIFIED: Porcine astrovirus isolate PAstV/1154/IL RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",759 bp linear RNA
JF272597.1,"233. UNVERIFIED: Porcine astrovirus isolate PAstV/1153/IL RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",731 bp linear RNA
JF272596.1,"234. UNVERIFIED: Porcine astrovirus isolate PAstV/1152/Can RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",660 bp linear RNA
JF272595.1,"235. UNVERIFIED: Porcine astrovirus isolate PAstV/1151/IL RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",726 bp linear RNA
JF272594.1,"236. UNVERIFIED: Porcine astrovirus isolate PAstV/1150/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",746 bp linear RNA
JF272593.1,"237. UNVERIFIED: Porcine astrovirus isolate PAstV/1149/OK RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",627 bp linear RNA
JF272592.1,"238. UNVERIFIED: Porcine astrovirus isolate PAstV/1148/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",670 bp linear RNA
JF272591.1,"239. UNVERIFIED: Porcine astrovirus isolate PAstV/1147/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",727 bp linear RNA
JF272590.1,"240. UNVERIFIED: Porcine astrovirus isolate PAstV/1146/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",730 bp linear RNA
JF272589.1,"241. UNVERIFIED: Porcine astrovirus isolate PAstV/1145/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",755 bp linear RNA
JF272588.1,"242. UNVERIFIED: Porcine astrovirus isolate PAstV/1144/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",669 bp linear RNA
JF272587.1,"243. UNVERIFIED: Porcine astrovirus isolate PAstV/1143/MS RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",656 bp linear RNA
JF272586.1,"244. UNVERIFIED: Porcine astrovirus isolate PAstV/1142/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",782 bp linear RNA
JF272585.1,"245. UNVERIFIED: Porcine astrovirus isolate PAstV/1141/Mex RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",700 bp linear RNA
JF272584.1,"246. UNVERIFIED: Porcine astrovirus isolate PAstV/1140/OK RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",684 bp linear RNA
JF272583.1,"247. UNVERIFIED: Porcine astrovirus isolate PAstV/1139/NC RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",777 bp linear RNA
JF272582.1,"248. UNVERIFIED: Porcine astrovirus isolate PAstV/1138/Mex RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",777 bp linear RNA
JF272581.1,"249. UNVERIFIED: Porcine astrovirus isolate PAstV/1137/NE RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",698 bp linear RNA
JF272580.1,"250. UNVERIFIED: Porcine astrovirus isolate PAstV/1136/SD RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",683 bp linear RNA
JF272579.1,"251. UNVERIFIED: Porcine astrovirus isolate PAstV/1135/OK RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",735 bp linear RNA
JF272578.1,"252. UNVERIFIED: Porcine astrovirus isolate PAstV/1134/KS RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",754 bp linear RNA
JF272577.1,"253. UNVERIFIED: Porcine astrovirus isolate PAstV/1133/NC RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",670 bp linear RNA
JF272576.1,"254. UNVERIFIED: Porcine astrovirus isolate PAstV/1132/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",774 bp linear RNA
JF272575.1,"255. UNVERIFIED: Porcine astrovirus isolate PAstV/1131/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",737 bp linear RNA
JF272574.1,"256. UNVERIFIED: Porcine astrovirus isolate PAstV/1130/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",753 bp linear RNA
JF272573.1,"257. UNVERIFIED: Porcine astrovirus isolate PAstV/1129/MN RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",743 bp linear RNA
JF272572.1,"258. UNVERIFIED: Porcine astrovirus isolate PAstV/1128/VA RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",762 bp linear RNA
JF272571.1,"259. UNVERIFIED: Porcine astrovirus isolate PAstV/1127/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",734 bp linear RNA
JF272570.1,"260. UNVERIFIED: Porcine astrovirus isolate PAstV/1126/MN RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",750 bp linear RNA
JF272569.1,"261. UNVERIFIED: Porcine astrovirus isolate PAstV/1125/NE RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",770 bp linear RNA
JF272568.1,"262. UNVERIFIED: Porcine astrovirus isolate PAstV/1124/IL RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",685 bp linear RNA
JF272567.1,"263. UNVERIFIED: Porcine astrovirus isolate PAstV/1123/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",694 bp linear RNA
JF272566.1,"264. UNVERIFIED: Porcine astrovirus isolate PAstV/1122/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",753 bp linear RNA
JF272565.1,"265. UNVERIFIED: Porcine astrovirus isolate PAstV/1121/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",606 bp linear RNA
JF272564.1,"266. UNVERIFIED: Porcine astrovirus isolate PAstV/1120/TN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",714 bp linear RNA
JF272563.1,"267. UNVERIFIED: Porcine astrovirus isolate PAstV/1119/MS RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",732 bp linear RNA
JF272562.1,"268. UNVERIFIED: Porcine astrovirus isolate PAstV/1118/NC RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",768 bp linear RNA
JF272561.1,"269. UNVERIFIED: Porcine astrovirus isolate PAstV/1117/MN RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",714 bp linear RNA
JF272560.1,"270. UNVERIFIED: Porcine astrovirus isolate PAstV/1116/PA RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",776 bp linear RNA
JF272559.1,"271. UNVERIFIED: Porcine astrovirus isolate PAstV/1115/MS RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",770 bp linear RNA
JF272558.1,"272. UNVERIFIED: Porcine astrovirus isolate PAstV/1114/SD RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",663 bp linear RNA
JF272557.1,"273. UNVERIFIED: Porcine astrovirus isolate PAstV/1113/AZ RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",718 bp linear RNA
JF272556.1,"274. UNVERIFIED: Porcine astrovirus isolate PAstV/1112/VA RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",684 bp linear RNA
JF272555.1,"275. UNVERIFIED: Porcine astrovirus isolate PAstV/1111/MS RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",574 bp linear RNA
JF272554.1,"276. UNVERIFIED: Porcine astrovirus isolate PAstV/1110/AZ RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",762 bp linear RNA
JF272553.1,"277. UNVERIFIED: Porcine astrovirus isolate PAstV/1109/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",698 bp linear RNA
JF272552.1,"278. UNVERIFIED: Porcine astrovirus isolate PAstV/1108/SD RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",653 bp linear RNA
JF272551.1,"279. UNVERIFIED: Porcine astrovirus isolate PAstV/1107/TN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",613 bp linear RNA
JF272550.1,"280. UNVERIFIED: Porcine astrovirus isolate PAstV/1106/Mex RNA-dependent RNA polymerase-like and capsid-like genes, partial sequence",646 bp linear RNA
JF272549.1,"281. UNVERIFIED: Porcine astrovirus isolate PAstV/1105/Mex RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",697 bp linear RNA
JF272548.1,"282. UNVERIFIED: Porcine astrovirus isolate PAstV/1104/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",769 bp linear RNA
JF272547.1,"283. UNVERIFIED: Porcine astrovirus isolate PAstV/1103/IL RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",594 bp linear RNA
JF272546.1,"284. UNVERIFIED: Porcine astrovirus isolate PAstV/1102/IL RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",770 bp linear RNA
JF272545.1,"285. UNVERIFIED: Porcine astrovirus isolate PAstV/1101/MN RNA-dependent RNA polymerase gene, partial cds; and capsid-like gene, partial sequence",656 bp linear RNA
KU253625.1,"286. UNVERIFIED: Chicken astrovirus polymerase-like gene, partial sequence",342 bp linear RNA
KT355303.1,"287. UNVERIFIED: Turkey astrovirus 1 isolate TastV-1/UMN12/PES/RdRp/Turkey/USA/MN/2010 polymerase-like (ORF1b) gene, partial sequence",858 bp linear RNA
KT355301.1,"288. UNVERIFIED: Turkey astrovirus 1 isolate TastV-1/UMN10/PES/RdRp/Turkey/USA/MN/2010 polymerase-like (ORF1b) gene, partial sequence",903 bp linear RNA
KT355300.1,"289. UNVERIFIED: Turkey astrovirus 1 isolate TastV-1/UMN9/PES/RdRp/Turkey/USA/MN/2010 polymerase-like (ORF1b) gene, partial sequence",873 bp linear RNA
KT355294.1,"290. UNVERIFIED: Turkey astrovirus 1 isolate TastV-1/UMN3/PES/RdRp/Turkey/USA/MN/2010 polymerase-like (ORF1b) gene, partial sequence",960 bp linear RNA
KT355292.1,"291. UNVERIFIED: Turkey astrovirus 1 isolate TastV-1/UMN1/PES/RdRp/Turkey/USA/MN/2010 polymerase-like (ORF1b) gene, partial sequence",873 bp linear RNA
KT355290.1,"292. UNVERIFIED: Avian nephritis virus isolate ANV/UMN21/PES/RdRp/Turkey/USA/MN/2014 polymerase-like (ORF1b) gene, partial sequence",669 bp linear RNA
KT355286.1,"293. UNVERIFIED: Avian nephritis virus isolate ANV/UMN17/PES/RdRp/Turkey/USA/MN/2011 polymerase-like (ORF1b) gene, partial sequence",654 bp linear RNA
KT355279.1,"294. UNVERIFIED: Avian nephritis virus isolate ANV/UMN10/LTS/RdRp/Turkey/USA/MN/2011 polymerase-like (ORF1b) gene, partial sequence",675 bp linear RNA
KT355278.1,"295. UNVERIFIED: Avian nephritis virus isolate ANV/UMN9/LTS/RdRp/Turkey/USA/MN/2011 polymerase-like (ORF1b) gene, partial sequence",669 bp linear RNA
KT355270.1,"296. UNVERIFIED: Avian nephritis virus isolate ANV/UMN1/PES/RdRp/Turkey/USA/MN/2009 polymerase-like (ORF1b) gene, partial sequence",663 bp linear RNA
KT355321.1,"297. UNVERIFIED: Turkey astrovirus 1 isolate TastV-1/UMN1/PES/Capsid capsid-like (ORF2) gene, partial sequence",810 bp linear RNA
KT003292.1,"298. UNVERIFIED: Bat astrovirus Myl/YN/hsac2 capsid protein-like (ORF2) gene, partial sequence","1,566 bp linear RNA"
KF854592.1,"299. UNVERIFIED: Human astrovirus 8 clone 0315m3 nonstructural protein-like gene, partial sequence",223 bp linear RNA
KF854591.1,"300. UNVERIFIED: Human astrovirus 8 clone 0315m4 nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854590.1,"301. UNVERIFIED: Human astrovirus 8 clone 30424M nonstructural protein-like gene, partial sequence",212 bp linear RNA
KF854589.1,"302. UNVERIFIED: Human astrovirus 8 clone 0424m2+ nonstructural protein-like gene, partial sequence",213 bp linear RNA
KF854588.1,"303. UNVERIFIED: Human astrovirus 1 clone 0428m1 nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854587.1,"304. UNVERIFIED: Human astrovirus 1 clone 0424m1+ nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854586.1,"305. UNVERIFIED: Human astrovirus 1 clone 0244M nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854585.1,"306. UNVERIFIED: Human astrovirus 1 clone 0427m1 nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854584.1,"307. UNVERIFIED: Human astrovirus 1 clone 0504M nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854583.1,"308. UNVERIFIED: Human astrovirus 1 clone 0427M nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854582.1,"309. UNVERIFIED: Human astrovirus 1 clone 0428M nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854581.1,"310. UNVERIFIED: Human astrovirus 1 clone 0427m2 nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854580.1,"311. UNVERIFIED: Human astrovirus 8 clone 0619M nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF854579.1,"312. UNVERIFIED: Human astrovirus 8 clone 0515m1 nonstructural protein-like gene, partial sequence",212 bp linear RNA
KF854578.1,"313. UNVERIFIED: Human astrovirus 8 clone 0315m1 nonstructural protein-like gene, partial sequence",224 bp linear RNA
KF782354.1,"314. UNVERIFIED: Human astrovirus 4 isolate ZJH-32 capsid protein-like (ORF2) gene, partial sequence",201 bp linear RNA
KF782353.1,"315. UNVERIFIED: Human astrovirus 4 isolate ZJH-31 capsid protein-like (ORF2) gene, partial sequence",203 bp linear RNA
KF782352.1,"316. UNVERIFIED: Human astrovirus 1 isolate ZJH-30 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782351.1,"317. UNVERIFIED: Human astrovirus 1 isolate ZJH-29 capsid protein-like (ORF2) gene, partial sequence",205 bp linear RNA
KF782350.1,"318. UNVERIFIED: Human astrovirus 1 isolate ZJH-28 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782349.1,"319. UNVERIFIED: Human astrovirus 1 isolate ZJH-27 capsid protein-like (ORF2) gene, partial sequence",200 bp linear RNA
KF782348.1,"320. UNVERIFIED: Human astrovirus 4 isolate ZJH-26 capsid protein-like (ORF2) gene, partial sequence",206 bp linear RNA
KF782347.1,"321. UNVERIFIED: Human astrovirus 1 isolate ZJH-25 capsid protein-like (ORF2) gene, partial sequence",206 bp linear RNA
KF782346.1,"322. UNVERIFIED: Human astrovirus 1 isolate ZJH-24 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782345.1,"323. UNVERIFIED: Human astrovirus 1 isolate ZJH-23 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782344.1,"324. UNVERIFIED: Human astrovirus 4 isolate ZJH-22 capsid protein-like (ORF2) gene, partial sequence",205 bp linear RNA
KF782343.1,"325. UNVERIFIED: Human astrovirus 1 isolate ZJH-21 capsid protein-like (ORF2) gene, partial sequence",206 bp linear RNA
KF782342.1,"326. UNVERIFIED: Human astrovirus 1 isolate ZJH-20 capsid protein-like (ORF2) gene, partial sequence",205 bp linear RNA
KF782341.1,"327. UNVERIFIED: Human astrovirus 1 isolate ZJH-19 capsid protein-like (ORF2) gene, partial sequence",203 bp linear RNA
KF782340.1,"328. UNVERIFIED: Human astrovirus 1 isolate ZJH-18 capsid protein-like (ORF2) gene, partial sequence",203 bp linear RNA
KF782339.1,"329. UNVERIFIED: Human astrovirus 1 isolate ZJH-17 capsid protein-like (ORF2) gene, partial sequence",205 bp linear RNA
KF782338.1,"330. UNVERIFIED: Human astrovirus 1 isolate ZJH-16 capsid protein-like (ORF2) gene, partial sequence",201 bp linear RNA
KF782337.1,"331. UNVERIFIED: Human astrovirus 1 isolate ZJH-15 capsid protein-like (ORF2) gene, partial sequence",204 bp linear RNA
KF782336.1,"332. UNVERIFIED: Human astrovirus 4 isolate ZJH-14 capsid protein-like (ORF2) gene, partial sequence",201 bp linear RNA
KF782335.1,"333. UNVERIFIED: Human astrovirus 1 isolate ZJH-13 capsid protein-like (ORF2) gene, partial sequence",201 bp linear RNA
KF782334.1,"334. UNVERIFIED: Human astrovirus 1 isolate ZJH-12 capsid protein-like (ORF2) gene, partial sequence",204 bp linear RNA
KF782333.1,"335. UNVERIFIED: Human astrovirus 4 isolate ZJH-11 capsid protein-like (ORF2) gene, partial sequence",200 bp linear RNA
KF782332.1,"336. UNVERIFIED: Human astrovirus 4 isolate ZJH-10 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782331.1,"337. UNVERIFIED: Human astrovirus 1 isolate ZJH-9 capsid protein-like (ORF2) gene, partial sequence",208 bp linear RNA
KF782330.1,"338. UNVERIFIED: Human astrovirus 1 isolate ZJH-8 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782329.1,"339. UNVERIFIED: Human astrovirus 4 isolate ZJH-7 capsid protein-like (ORF2) gene, partial sequence",201 bp linear RNA
KF782328.1,"340. UNVERIFIED: Human astrovirus 4 isolate ZJH-6 capsid protein-like (ORF2) gene, partial sequence",203 bp linear RNA
KF782327.1,"341. UNVERIFIED: Human astrovirus 4 isolate ZJH-5 capsid protein-like (ORF2) gene, partial sequence",200 bp linear RNA
KF782326.1,"342. UNVERIFIED: Human astrovirus 1 isolate ZJH-4 capsid protein-like (ORF2) gene, partial sequence",202 bp linear RNA
KF782325.1,"343. UNVERIFIED: Human astrovirus 1 isolate ZJH-3 capsid protein-like (ORF2) gene, partial sequence",200 bp linear RNA
KF782324.1,"344. UNVERIFIED: Human astrovirus 1 isolate ZJH-2 capsid protein-like (ORF2) gene, partial sequence",204 bp linear RNA
KF782323.1,"345. UNVERIFIED: Human astrovirus 4 isolate ZJH-1 capsid protein-like (ORF2) gene, partial sequence",201 bp linear RNA
JQ081297.1,"346. UNVERIFIED: Dog astrovirus ORF1a-like gene, partial sequence; ORF1b gene, partial cds; and ORF2 gene, complete cds","5,011 bp linear RNA"
JQ434397.1,"347. UNVERIFIED: Human astrovirus 5 isolate BA247/08-144 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434396.1,"348. UNVERIFIED: Human astrovirus 4a isolate BA393/08-65 capsid protein-like gene, partial sequence",376 bp linear RNA
JQ434395.1,"349. UNVERIFIED: Human astrovirus 4a isolate BA247/08-111 capsid protein-like gene, partial sequence",377 bp linear RNA
JQ434394.1,"350. UNVERIFIED: Human astrovirus 2c isolate PA100/08 capsid protein-like gene, partial sequence",348 bp linear RNA
JQ434393.1,"351. UNVERIFIED: Human astrovirus 1d isolate BA247/08-85 capsid protein-like gene, partial sequence",378 bp linear RNA
JQ434392.1,"352. UNVERIFIED: Human astrovirus 1d isolate BA247/08-130 capsid protein-like gene, partial sequence",380 bp linear RNA
JQ434391.1,"353. UNVERIFIED: Human astrovirus 1d isolate BA247/08-146 capsid protein-like gene, partial sequence",380 bp linear RNA
JQ434390.1,"354. UNVERIFIED: Human astrovirus 1d isolate BA247/08-77 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434389.1,"355. UNVERIFIED: Human astrovirus 1d isolate BA247/08-58 capsid protein-like gene, partial sequence",380 bp linear RNA
JQ434388.1,"356. UNVERIFIED: Human astrovirus 1d isolate BA247/08-43 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434387.1,"357. UNVERIFIED: Human astrovirus 1d isolate BA247/08-05 capsid protein-like gene, partial sequence",380 bp linear RNA
JQ434386.1,"358. UNVERIFIED: Human astrovirus 1d isolate BA393/08-95 capsid protein-like gene, partial sequence",380 bp linear RNA
JQ434385.1,"359. UNVERIFIED: Human astrovirus 1d isolate BA393/08-94 capsid protein-like gene, partial sequence",380 bp linear RNA
JQ434384.1,"360. UNVERIFIED: Human astrovirus 1d isolate BA393/08-93 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434383.1,"361. UNVERIFIED: Human astrovirus 1d isolate BA393/08-71 capsid protein-like gene, partial sequence",378 bp linear RNA
JQ434382.1,"362. UNVERIFIED: Human astrovirus 1d isolate BA393/08-62 capsid protein-like gene, partial sequence",379 bp linear RNA
JQ434381.1,"363. UNVERIFIED: Human astrovirus 1d isolate BA393/08-56 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434380.1,"364. UNVERIFIED: Human astrovirus 1d isolate BA393/08-52 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434379.1,"365. UNVERIFIED: Human astrovirus 1a isolate BA265/09-35 capsid protein-like gene, partial sequence",348 bp linear RNA
JQ434378.1,"366. UNVERIFIED: Human astrovirus 1a isolate BA265/09-33 capsid protein-like gene, partial sequence",347 bp linear RNA
JQ434377.1,"367. UNVERIFIED: Human astrovirus 1a isolate BA265/09-32 capsid protein-like gene, partial sequence",368 bp linear RNA
JQ434376.1,"368. UNVERIFIED: Human astrovirus 1a isolate BA265/09-29 capsid protein-like gene, partial sequence",364 bp linear RNA
JQ434375.1,"369. UNVERIFIED: Human astrovirus 1a isolate BA265/09-27 capsid protein-like gene, partial sequence",368 bp linear RNA
JQ434374.1,"370. UNVERIFIED: Human astrovirus 1a isolate BA247/08-145 capsid protein-like gene, partial sequence",263 bp linear RNA
JQ434373.1,"371. UNVERIFIED: Human astrovirus 1a isolate BA247/08-62 capsid protein-like gene, partial sequence",294 bp linear RNA
JQ434372.1,"372. UNVERIFIED: Human astrovirus 1a isolate BA247/08-79 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434371.1,"373. UNVERIFIED: Human astrovirus 1a isolate BA247/08-98 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434370.1,"374. UNVERIFIED: Human astrovirus 1a isolate BA108/09 capsid protein-like gene, partial sequence",381 bp linear RNA
JQ434369.1,"375. UNVERIFIED: Human astrovirus 1a isolate PA430/09 capsid protein-like gene, partial sequence",362 bp linear RNA
JQ434368.1,"376. UNVERIFIED: Human astrovirus 1a isolate PA429/09 capsid protein-like gene, partial sequence",379 bp linear RNA
JQ434367.1,"377. UNVERIFIED: Human astrovirus 1a isolate PA418/09 capsid protein-like gene, partial sequence",373 bp linear RNA
JQ434366.1,"378. UNVERIFIED: Human astrovirus 1a isolate PA408/09 capsid protein-like gene, partial sequence",379 bp linear RNA
JQ434365.1,"379. UNVERIFIED: Human astrovirus 1a isolate PA407/09 capsid protein-like gene, partial sequence",379 bp linear RNA
JQ434364.1,"380. UNVERIFIED: Human astrovirus 1a isolate PA148/08 capsid protein-like gene, partial sequence",340 bp linear RNA
JQ434363.1,"381. UNVERIFIED: Human astrovirus 1a isolate PA36/08 capsid protein-like gene, partial sequence",286 bp linear RNA
JQ434362.1,"382. UNVERIFIED: Human astrovirus 1a isolate PA47/08 capsid protein-like gene, partial sequence",325 bp linear RNA
JN167517.1,"383. UNVERIFIED: Human astrovirus isolate C1-110 capsid protein-like gene, partial sequence",449 bp linear RNA
ON907858.1,"384. UNVERIFIED_ORG: Bastrovirus sp. isolate RnF02/con/AstV2 nonstructural polyprotein and structural polyprotein genes, complete cds","5,736 bp linear RNA"
ON907857.1,"385. UNVERIFIED_ORG: Astroviridae sp. isolate RnF02/con/AstV1 nonstructural polyprotein and structural polyprotein genes, complete cds","5,853 bp linear RNA"
ON907856.1,"386. UNVERIFIED_ORG: Rodent astrovirus isolate RnF01/con/AstV1 ORF1A and capsid protein genes, complete cds","6,085 bp linear RNA"
OP413964.1,"387. MAG UNVERIFIED_ASMBLY: Porcine astrovirus 4 ORF1A and capsid protein genes strain PF90/con/AstV24, partial cds","6,469 bp linear RNA"
OP413961.1,"388. MAG UNVERIFIED_ASMBLY: Mamastrovirus 3 ORF1A and capsid protein genes strain PF78/con/AstV21, partial cds","6,408 bp linear RNA"
OP413952.1,"389. MAG UNVERIFIED_ASMBLY: Porcine astrovirus 2 ORF1A and capsid protein genes strain PF201/con/AstV12, partial cds","6,800 bp linear RNA"
OP413944.1,"390. MAG UNVERIFIED_ASMBLY: Porcine astrovirus 4 nonstructural polyprotein and structural polyprotein genes strain PF169/con/AstV4, partial cds","6,782 bp linear RNA"
